id,title,content,brief,target,type
30083,God surgery training,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Increasing a rate of 2 liter recruitment%. 10 training technique is an essential prerequisite training chariot soldiers.",    Cultivation practitioners in hospital [] in [training] to 10 patients,10 training technique,1
30091,Assault divine,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. An increase of 2% per level army attack",    Discipline assault level 1 [surgery] in [to the hospital] in Cultivation,Strong attack and surgery,1
30101,Clouds divine,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Each level increases the speed of the march 2%",    Cultivation in the [hospital] in [practitioners] Clouds surgery to Level 1,Clouds surgery,1
30111,Occult magic,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Each level increases the maximum health of soldiers 2%",    Cultivation in the [hospital] in [practitioners] magic technique to level 1,Magic surgery,1
30121,Sin divine body,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Each level increase 2% immortal self defense",    Cultivation in the [hospital] in the body of patients [Sin] practitioners to Level 1,Sin body surgery,1
30131,God breathing technique,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Per liter of a 2% reduction in consumption of fairy magic",    Cultivation practitioners in hospital [] in [breathing technique to level 1],Breathing technique,1
30141,God led troops surgery,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Lasts a god to lead the troops upper limit of 2%",    Cultivation in the [hospital] in [practitioners] surgery to lead the troops to Level 1,Led troops surgery,1
30151,Heuristic fairy,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Increase the success rate of reconnaissance fairy 2% per level",    Cultivation in the [hospital] in [practitioners] to test the fairy level 1,Heuristic fairy,1
30161,Trinidad eyes of God,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Each level increases the success rate of 2% reconnaissance resources",    Cultivation in the [hospital] in [clairvoyant] practitioners to Level 1,clairvoyance,1
30171,God downwind ear,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Each level increases the success rate of 2% reconnaissance troops.",    Cultivation in the [hospital] in [ears] practitioners to Level 1,Omniscient,1
40001,Occupation of the wild,"    I heard the wild can be collected outside the city to a more scarce resource that can be of great help to the city's resource production, soldiers to be explored there may be unexpected gains under with foot.","    Find and select Class 1 ownerless wilderness execute instructions in [occupied] large map interface. Depending on the type of the wild, wild occupation of their respective cities can bring different resources reward bonus. If the office reaches a certain level you can also set up sub-city occupied the ground.",Occupation of the wild,1
40002,Occupation of the wild,"    I heard the wild can be collected outside the city to a more scarce resource that can be of great help to the city's resource production, soldiers to be explored there may be unexpected gains under with foot.","    Find and select grade 2 ownerless wilderness execute instructions in [occupied] large map interface. Depending on the type of the wild, wild occupation of their respective cities can bring different resources reward bonus. If the office reaches a certain level you can also set up sub-city occupied the ground.",Occupation of the wild,1
40003,Occupation of the wild,"    I heard the wild can be collected outside the city to a more scarce resource that can be of great help to the city's resource production, soldiers to be explored there may be unexpected gains under with foot.","    Find and select three wild unowned execute instructions in [occupied] large map interface. Depending on the type of the wild, wild occupation of their respective cities can bring different resources reward bonus. If the office reaches a certain level you can also set up sub-city occupied the ground.",Occupation of the wild,1
